state,pop_density,average_internet_speed,cost_of_living_index,cost_per_mbps
Alabama,99.2,111.8,87.9,5.82
Arizona,63,149.1,103.2,4.35
Arkansas,57.9,104.1,90.9,5.13
California,254,92.6,142.2,1.86
Colorado,54.3,168.5,105.3,3.9
Connecticut,745,172,121.6,2.06
Delaware,508,139.9,107.9,2.54
Florida,402,167.8,100.3,3.71
Georgia,186,150.6,88.8,1.65
Idaho,22.3,88.9,102.1,4.03
Illinois,231,171.3,94.3,2.57
Indiana,189,134.1,90.6,3.75
Iowa,57.1,78.9,89.9,6.34
Kansas,35.9,135.9,86.5,2.88
Kentucky,114,95.7,93.1,6.74
Louisiana,108,109.4,93,4.09
Maine,44.2,82.8,115,3.08
Maryland,636,196.2,124,1.99
Massachusetts,901,188.2,135,1.13
Michigan,178,113.3,91.3,3.05
Minnesota,71.7,161.4,100,4.58
Mississippi,63.1,84.5,83.3,2.91
Missouri,89.5,108.4,89.8,4.41
Nebraska,25.5,90.3,93.7,5.43
New Hampshire,154,144.3,109.9,2.77
New Jersey,1263,174.3,115.2,3.01
New Mexico,17.5,93.1,91,6.23
New York,429,190.5,148.2,1.72
North Carolina,215,115.5,95.7,5.87
North Dakota,11.3,90.5,98.2,7.57
Ohio,289,102.1,91.3,3.41
Oklahoma,57.7,168.8,87.9,2.37
Oregon,44.1,122.5,130.1,4.95
Pennsylvania,291,144.7,102.5,4.48
South Carolina,170,125,93.6,4.2
South Dakota,11.7,74.5,101,7.17
Tennessee,168,132.7,89,3.23
Texas,112,163.7,92.1,2.29
Utah,39.8,127.5,99,4.52
Vermont,69.8,98.6,117,2.96
Virginia,219,193.1,101.8,6.74
Washington,116,149,111.6,5.2
West Virginia,74.6,101.2,90.5,3.85
Wisconsin,109,126,96.4,4.32
Wyoming,5.9,108.2,94.3,7.84
